eventtitle;views;place;address;eventday;eventdate;request
Penthouse Liebe;2924;Adlib;60314 Frankfurt am Main, Schwedler Straße 8;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Urban Friday;2825;Cooky's;60311 Frankfurt, Am Salzhaus 4;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Addnfahrer - S' Lem is koa Nudlsubbn;1266;Onoldiasaal;91522 Ansbach, Nürnberger Str. 32;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Bibi & Tina - Die verhexte Hitparade;987;bigBOX Allgäu;87435 Kempten, Kotterner Str. 64;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Blumenmarkt Liebfrauenberg;290;Liebfrauenberg;60313 Frankfurt am Main, Liebfrauenberg;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Braumeister-Tasting;464;Glaabsbräu GmbH & Co. KG;63500 Seligenstadt, Frankfurter Straße 9;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Die heilige Johanna der Schlachthöfe;248;Megalomania Theater;60599 Frankfurt am Main, Offenbacher Landstraße 368;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Fabrice Mazliah/Work of Act - Duet #1;793;Künstlerhaus Mousonturm;60316 Frankfurt am Main, Waldschmidtstraße 4;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Fabrice Mazliah/Work of Act - Duet #4: sonâmesonhameçon;793;Künstlerhaus Mousonturm;60316 Frankfurt am Main, Waldschmidtstraße 4;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Fan Upgrade - Bibi & Tina - Die verhexte Hitparade;971;bigBOX Allgäu;87435 Kempten, Kotterner Str. 64;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Frankfurt Card Einzelkarte 2 Tage 2022/2023;183;Tourist Information;60329 Frankfurt am Main, Im Hauptbahnhof;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Frankfurt Card Gruppenkarte 1 Tag 2022/2023;184;Tourist Information;60329 Frankfurt am Main, Im Hauptbahnhof;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Frankfurt Card Gruppenkarte 2 Tage 2022/2023;184;Tourist Information;60329 Frankfurt am Main, Im Hauptbahnhof;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Gallusmarkt;598;Gallusmarkt;60326 Frankfurt am Main, Frankenallee 183;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Hedda Gabler;324;Schauspielhaus;60311 Frankfurt, Neue Mainzer Straße 17;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Internationale Revue 21/22;1312;Tigerpalast Varieté Theater;60313 Frankfurt am Main, Heiligkreuzgasse 16;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Jane Fitz & Amadeus;155;Zoom;60386 Frankfurt am Main, Carl-Benz-Straße 23;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Latin Feeling;923;Latin Palace Changó;60311 Frankfurt, Münchener Straße 57;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Liberté Oh No No No;339;Kammerspiele;60311 Frankfurt, Neue Mainzer Straße 11;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Mundstuhl - Neues Programm;1098;Neubau-Saal;74523 Bühlerzimmern, Rosenbühl 14;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Nacht der Maschinen vs Final Noize;206;FREUD;60311 Frankfurt, Holzgraben 9;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Rigoletto;345;Oper;60311 Frankfurt, Willy-Brandt-Platz;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Runway – (B)eautiful Ebene;219;Hauptwache Frankfurt;60313 Frankfurt am Main;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Stadtführung;300;Tourist Info + Service im Kurhaus;61348 Bad Homburg, Louisenstr. 58;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Velvet-Bar-Night;1126;Velvet Club;60311 Frankfurt, Weißfrauenstraße 12-16;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Wer kocht, schießt nicht - Eine Koch-Satire von …;299;Stalburg Theater;60318 Frankfurt am Main, Glauburgstraße 80;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Winterzauber auf dem Main;634;Primus-Linie;60311 Frankfurt, Mainkai 36;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Wochenmarkt Sachsenhausen;362;Wochenmarkt Sachsenhausen;60594 Frankfurt am Main, Diesterwegplatz 50;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
Wochenmarkt und Markthalle Höchst;453;Markthalle und Wochenmarkt Höchst;65929 Frankfurt am Main, Höchster Markt 6;Freitag;2022-02-04;2022-02-04T01:56:31.511254Z
German Gods Of EBM;4203;Das Bett;60326 Frankfurt am Main, Schmidtstraße 12;Samstag;2022-02-05;2022-02-04T01:56:33.211270Z
Latin Summer;2454;Latin Palace Changó;60311 Frankfurt, Münchener Straße 57;Samstag;2022-02-05;2022-02-04T01:56:33.211270Z
Addnfahrer - S' Lem is koa Nudlsubbn;1319;Christian-Sammet-Halle;91257 Pegnitz, Jean-Paul-Straße;Samstag;2022-02-05;2022-02-04T01:56:33.211270Z
Der große Kunstraub (DGKR);293;Bockenheimer Depot;60325 Frankfurt am Main, Carlo-Schmid-Platz 1;Samstag;2022-02-05;2022-02-04T01:56:33.211270Z
